SITE NAME,DISTRICT,DESCRIPTION,ADDRESS,ENTRY FEE,LOCATION TYPE,TIMINGS
Schwartz Church,Thanjavur,A historic church built in 1779 by a Danish missionary.,"Schwartz Church, Thanjavur, Tamil Nadu, India",Free,Church,9:00 AM - 5:00 PM
Vaigai Dam,Theni,A large dam built across the Vaigai River. The dam has a scenic garden known as the Vaigai Dam Garden.,"Vaigai Dam, Andipatti, Theni District, Tamil Nadu, India",Free,"Dam, Park",6:00 AM - 6:00 PM
Meghamalai estate heritage bungalows,Theni,Colonial-era bungalows and tea estates in the picturesque Meghamalai hills.,"Meghamalai, Theni District, Tamil Nadu, India",Free,"Hill Station, Heritage Building",Open 24/7
Basilica of Our Lady of Snows,Tuticorin,A Roman Catholic basilica known for its annual feast.,"Our Lady of Snows Basilica, Tuticorin, Tamil Nadu, India",Free,Church/Basilica,Varies based on services
ttayapuram Palace & Bharathiar Memorial,Tuticorin,"A memorial dedicated to the great poet Subramania Bharathiar, located in his ancestral home.","Ettayapuram, Tuticorin District, Tamil Nadu, India",Free,"Palace, Memorial",9:00 AM - 5:00 PM
Korkai archaeological site,Tuticorin,An ancient port city mentioned in Sangam literature. An archaeological site with ongoing excavations.,"Korkai, Srivaikuntam Taluk, Tuticorin District, Tamil Nadu, India",Free,Archaeological Site,9:00 AM - 5:00 PM
Elakurichi Adaikalamatha shrine,Tiruchirappalli,"A historic church, one of the oldest in the region.","Elakurichi, Ariyalur District, Tamil Nadu, India",Free,Church,Varies based on services
Krishnapuram Sculptures,Tirunelveli,The sculptures in the Venkatachalapathy Temple are known for their intricate details and artistic value.,"Krishnapuram, Tirunelveli District, Tamil Nadu, India",Free,"Temple, Sculptural Site",Varies based on temple timings
Ambur Fort,Tirupathur,A ruined hill fort of historical significance.,"Ambur Fort, Ambur, Tirupathur District, Tamil Nadu, India",Free,"Fort, Hill",Open 24/7
Vaniyambadi heritage mosques & bazaars,Tirupathur,"A town with a rich Islamic heritage, featuring several old mosques and vibrant bazaars.","Vaniyambadi, Tirupathur District, Tamil Nadu, India",Free,"Urban, Mosque, Bazaar",Varies
Yelagiri hill-settlement heritage ambience,Tirupathur,A small hill station known for its peaceful atmosphere and natural beauty.,"Yelagiri, Tirupathur District, Tamil Nadu, India",Free,"Hill Station, Heritage",Open 24/7
Amaravathi Croc Farm,Tiruppur,A crocodile breeding center and farm located near the Amaravathi Dam.,"Amaravathinagar, Udumalaipettai Taluk, Tiruppur District, Tamil Nadu, India","Indian Citizens: ₹20, Foreigners: ₹50","Natural, Park",9:00 AM - 6:00 PM
Pulicat (Pazhaverkadu) Dutch cemetery & lighthouse precincts,Tiruvallur,"A historic Dutch cemetery and a lighthouse, remnants of the Dutch presence in the region.","Pulicat, Tiruvallur District, Tamil Nadu, India",Free,"Coastal, Cemetery, Lighthouse",9:00 AM - 5:00 PM
Poondi Basilica,Tiruvallur,A beautiful Roman Catholic basilica and pilgrimage center.,"Poondi, Tiruvallur District, Tamil Nadu, India",Free,Church/Basilica,Varies based on services
Sathanur Dam park,Tiruvannamalai,A large dam across the Thenpennai River with a scenic park and a crocodile farm.,"Sathanur, Tiruvannamalai District, Tamil Nadu, India","Indian Citizens: ₹10, Foreigners: ₹50","Dam, Park",9:00 AM - 6:00 PM
Vellore Fort,Vellore,"A large 16th-century fort that houses a temple, a mosque, and a church.","Vellore Fort, Vellore, Tamil Nadu, India",Free,Fort,8:00 AM - 6:00 PM
St. John’s Church,Vellore,"A historic church located within the Vellore Fort, known for its beautiful architecture.","Vellore Fort, Vellore, Tamil Nadu, India",Free,Church,Varies
Yelagiri connection (historic routes),Vellore,The historic routes connecting Vellore to the hill station of Yelagiri.,"Yelagiri, Tirupathur District, Tamil Nadu, India",Free,"Hill Station, Historic Route",Open 24/7
Gingee (Senji) Fort,Viluppuram,"A massive hill fort complex consisting of three hills, known for its impressive architecture and history.","Gingee, Viluppuram District, Tamil Nadu, India","Indian Citizens: ₹15, Foreigners: ₹200","Fort, Hill",9:00 AM - 5:00 PM
Thiruvakkarai National Fossil Park,Viluppuram,"A park with fossilized tree trunks, similar to the one in Perambalur.","Thiruvakkarai, Viluppuram District, Tamil Nadu, India","Indian Citizens: ₹25, Foreigners: ₹100","Park, Geological Site",9:30 AM - 6:00 PM
Kamarajar Memorial,Viluppuram,"A memorial dedicated to K. Kamaraj, a former Chief Minister of Tamil Nadu.","Viluppuram, Tamil Nadu, India",Free,Memorial,9:00 AM - 6:00 PM
Ayyanar Falls precinct,Viluppuram,"A waterfall with a nearby temple, a popular picnic spot.","Ayyanar Falls, Viluppuram District, Tamil Nadu, India",Free,"Natural, Waterfall",9:00 AM - 5:00 PM
